iter	Passed	Remaining
409	4183	6019
410	4192	6008
411	4200	5995
412	4210	5984
413	4220	5973
414	4230	5964
415	4238	5950
416	4249	5941
417	4259	5930
418	4271	5922
419	4279	5910
420	4291	5902
421	4304	5895
422	4313	5883
423	4321	5870
424	4332	5862
425	4344	5854
426	4353	5842
427	4362	5829
428	4372	5820
429	4383	5810
430	4390	5796
431	4401	5786
432	4413	5779
433	4421	5766
434	4433	5758
435	4443	5747
436	4452	5736
437	4463	5727
438	4473	5717
439	4482	5705
440	4492	5694
441	4498	5679
442	4512	5674
443	4520	5661
444	4530	5649
445	4540	5640
446	4550	5630
447	4558	5616
448	4572	5610
449	4579	5597
450	4591	5589
451	4604	5581
452	4614	5572
453	4623	5560
454	4632	5548
455	4641	5537
456	4653	5529
457	4664	5519
458	4673	5508
459	4683	5498
460	4691	5485
461	4702	5475
462	4712	5465
463	4719	5451
464	4730	5442
465	4738	5430
466	4749	5420
467	4756	5407
468	4767	5398
469	4778	5388
470	4788	5378
471	4799	5369
472	4810	5359
473	4821	5350
474	4832	5340
475	4840	5328
476	4848	5315
477	4855	5302
478	4863	5290
479	4873	5280
480	4883	5269
481	4893	5258
482	4904	5249
483	4913	5238
484	4926	5230
485	4935	5219
486	4942	5206
487	4955	5199
488	4963	5186
489	4969	5172
490	4981	5164
491	4990	5153
492	5001	5143
493	5009	5131
494	5021	5123
495	5031	5112
496	5039	5100
497	5051	5091
498	5063	5083
499	5074	5074
500	5081	5061
501	5088	5048
502	5099	5039
503	5109	5028
504	5117	5015
505	5125	5004
506	5136	4994
507	5149	4987
508	5160	4978
509	5168	4965
510	5175	4952
511	5185	4942
512	5194	4930
513	5204	4921
514	5212	4908
515	5220	4897
516	5228	4884
517	5237	4873
518	5249	4864
519	5260	4856
520	5268	4843
521	5276	4832
522	5287	4822
523	5301	4815
524	5313	4807
525	5322	4795
526	5331	4785
527	5343	4776
528	5353	4766
529	5364	4757
530	5372	4744
531	5385	4737
532	5396	4728
533	5408	4720
534	5418	4709
535	5426	4697
536	5437	4688
537	5447	4677
538	5457	4667
539	5470	4660
540	5480	4649
541	5491	4640
542	5504	4632
543	5514	4622
544	5527	4614
545	5538	4605
546	5550	4596
547	5562	4587
548	5571	4576
549	5582	4567
550	5592	4556
551	5604	4548
552	5615	4539
553	5623	4527
554	5634	4517
555	5640	4504
556	5649	4492
557	5659	4483
558	5669	4472
559	5678	4461
560	5689	4452
561	5702	4444
562	5711	4432
563	5719	4421
564	5726	4408
565	5735	4397
566	5741	4384
567	5748	4372
568	5758	4361
569	5765	4349
570	5775	4339
571	5784	4328
572	5796	4319
573	5805	4308
574	5818	4300
575	5831	4292
576	5841	4282
577	5849	4270
578	5860	4261
579	5871	4251
580	5881	4241
581	5890	4230
582	5898	4219
583	5907	4207
584	5916	4197
585	5924	4185
586	5935	4176
587	5945	4165
588	5953	4154
589	5961	4142
590	5972	4133
591	5982	4122
592	5993	4113
593	6004	4104
594	6015	4094
595	6025	4084
596	6033	4073
597	6043	4062
598	6055	4053
599	6064	4043
600	6077	4034
601	6086	4023
602	6098	4015
603	6110	4006
604	6117	3994
605	6127	3983
606	6136	3973
607	6145	3962
608	6157	3953
609	6168	3943
610	6179	3934
611	6191	3925
612	6198	3913
613	6208	3903
614	6218	3892
615	6226	3881
616	6237	3871
617	6250	3863
618	6259	3852
619	6272	3844
620	6281	3833
621	6292	3823
622	6301	3813
623	6313	3804
624	6322	3793
625	6333	3783
626	6343	3773
627	6354	3763
628	6363	3753
629	6370	3741
630	6379	3730
631	6388	3719
632	6398	3709
633	6405	3697
634	6415	3687
635	6425	3677
636	6431	3665
637	6442	3655
638	6450	3644
639	6462	3635
640	6472	3624
641	6479	3613
642	6487	3601
643	6496	3591
644	6503	3579
645	6516	3571
646	6526	3560
647	6536	3550
648	6549	3542
649	6561	3532
650	6567	3520
651	6578	3511
652	6585	3499
653	6594	3488
654	6606	3479
655	6616	3469
656	6628	3460
657	6638	3450
658	6649	3440
659	6657	3429
660	6668	3419
661	6679	3410
662	6688	3399
663	6696	3388
664	6704	3377
665	6713	3366
666	6721	3355
667	6729	3344
668	6735	3332
669	6746	3322
670	6755	3312
671	6762	3300
672	6769	3289
673	6779	3278
674	6787	3268
675	6797	3257
676	6806	3247
677	6817	3237
678	6826	3227
679	6835	3216
680	6845	3206
681	6852	3195
682	6862	3185
683	6874	3176
684	6887	3167
685	6898	3157
686	6905	3146
687	6912	3134
688	6924	3125
689	6935	3115
690	6943	3104
691	6952	3094
692	6962	3084
693	6975	3075
694	6982	3064
695	6993	3054
696	7003	3044
697	7010	3033
698	7018	3022
699	7030	3012
700	7038	3002
701	7051	2993
702	7060	2982
703	7071	2973
704	7083	2964
705	7093	2953
706	7105	2944
707	7115	2934
708	7125	2924
709	7135	2914
710	7146	2904
711	7154	2894
712	7166	2884
713	7176	2874
714	7186	2864
715	7198	2855
716	7210	2845
717	7218	2834
718	7227	2824
719	7235	2813
720	7248	2804
721	7260	2795
722	7271	2785
723	7278	2774
724	7291	2765
725	7300	2755
726	7309	2744
727	7319	2734
728	7331	2725
729	7344	2716
730	7351	2705
731	7359	2694
732	7373	2685
733	7380	2674
734	7391	2665
735	7406	2656
736	7419	2647
737	7429	2637
738	7441	2628
739	7451	2618
740	7462	2608
741	7472	2598
742	7478	2586
743	7488	2576
744	7501	2567
745	7510	2557
746	7518	2546
747	7530	2536
748	7540	2526
749	7553	2517
750	7560	2506
751	7568	2496
752	7578	2485
753	7588	2475
754	7596	2464
755	7603	2454
756	7617	2445
757	7626	2434
758	7636	2424
759	7648	2415
760	7659	2405
761	7672	2396
762	7679	2385
763	7688	2374
764	7698	2365
765	7706	2354
766	7714	2343
767	7723	2333
768	7733	2323
769	7742	2312
770	7749	2301
771	7760	2291
772	7770	2281
773	7781	2272
774	7788	2261
775	7799	2251
776	7809	2241
777	7823	2232
778	7834	2222
779	7845	2212
780	7854	2202
781	7865	2192
782	7876	2182
783	7885	2172
784	7894	2162
785	7903	2151
786	7915	2142
787	7925	2132
788	7933	2121
789	7941	2111
790	7954	2101
791	7962	2091
792	7973	2081
793	7984	2071
794	7995	2061
795	8006	2051
796	8018	2042
797	8028	2032
798	8035	2021
799	8043	2010
800	8051	2000
801	8062	1990
802	8071	1980
803	8080	1969
804	8090	1959
805	8101	1949
806	8107	1939
807	8114	1928
808	8126	1918
809	8135	1908
810	8148	1898
811	8157	1888
812	8169	1879
813	8181	1869
814	8191	1859
815	8200	1849
816	8211	1839
817	8220	1828
818	8229	1818
819	8242	1809
820	8249	1798
821	8258	1788
822	8269	1778
823	8280	1768
824	8289	1758
825	8300	1748
826	8309	1738
827	8320	1728
828	8330	1718
829	8339	1708
830	8349	1698
831	8359	1687
832	8369	1677
833	8379	1667
834	8390	1657
835	8396	1647
836	8409	1637
837	8422	1628
838	8431	1617
839	8439	1607
840	8450	1597
841	8459	1587
842	8468	1577
843	8479	1567
844	8492	1557
845	8502	1547
846	8513	1537
847	8522	1527
848	8530	1517
849	8540	1507
850	8550	1497
851	8562	1487
852	8576	1478
853	8584	1467
854	8593	1457
855	8605	1447
856	8612	1437
857	8621	1426
858	8631	1416
859	8639	1406
860	8646	1395
861	8654	1385
862	8665	1375
863	8674	1365
864	8687	1355
865	8695	1345
866	8705	1335
867	8714	1325
868	8724	1315
869	8732	1304
870	8740	1294
871	8747	1284
872	8756	1273
873	8767	1263
874	8775	1253
875	8785	1243
876	8796	1233
877	8808	1223
878	8817	1213
879	8826	1203
880	8836	1193
881	8845	1183
882	8856	1173
883	8867	1163
884	8877	1153
885	8888	1143
886	8900	1133
887	8911	1123
888	8921	1113
889	8934	1104
890	8942	1093
891	8951	1083
892	8961	1073
893	8971	1063
894	8984	1054
895	8994	1044
896	9006	1034
897	9015	1024
898	9027	1014
899	9040	1004
900	9049	994
901	9059	984
902	9070	974
903	9082	964
904	9093	954
905	9102	944
906	9110	934
907	9120	924
908	9130	914
909	9141	904
910	9149	893
911	9159	883
912	9169	873
913	9179	863
914	9188	853
915	9198	843
916	9211	833
917	9219	823
918	9228	813
919	9239	803
920	9249	793
921	9260	783
922	9271	773
923	9280	763
924	9289	753
925	9302	743
926	9310	733
927	9318	722
928	9332	713
929	9342	703
930	9353	693
931	9366	683
932	9379	673
933	9389	663
934	9400	653
935	9412	643
936	9422	633
937	9432	623
938	9439	613
939	9449	603
940	9458	593
941	9469	583
942	9478	572
943	9488	562
944	9496	552
945	9507	542
946	9517	532
947	9527	522
948	9536	512
949	9546	502
950	9553	492
951	9563	482
952	9573	472
953	9581	461
954	9591	451
955	9602	441
956	9614	432
957	9625	421
958	9634	411
959	9646	401
960	9661	392
961	9670	381
962	9679	371
963	9688	361
964	9698	351
965	9707	341
966	9717	331
967	9727	321
968	9735	311
969	9747	301
970	9758	291
971	9767	281
972	9776	271
973	9785	261
974	9794	251
975	9804	241
976	9814	231
977	9824	221
978	9834	210
979	9846	200
980	9856	190
981	9867	180
982	9878	170
983	9891	160
984	9900	150
985	9909	140
986	9917	130
987	9925	120
988	9935	110
989	9949	100
990	9957	90
991	9968	80
992	9979	70
993	9990	60
994	10001	50
995	10012	40
996	10026	30
997	10035	20
998	10047	10
999	10055	0
