iter	Logloss
0	0.5992744222
1	0.5182348583
2	0.458315779
3	0.4044760015
4	0.3699755919
5	0.3358712619
6	0.3127985279
7	0.2955222246
8	0.2814290381
9	0.2710218123
10	0.2621379134
11	0.2524670208112	0.243595394113	0.23982561514114	0.2350377415115	0.2306793416116	0.2279891717117	0.2238418118118	0.2209295119119	0.2188704921220	0.216933621	221	0.2154022	0.222	0.2140023	0223	0.21337824	0224	0.21220825	0225	0.2116176877226	0.21055827	027	0.2101276711
28	0.2096785933
29	0.2089172725
30	0.2085250329
31	0.2078810815332	0.2073008133333	0.20700434	3434	0.20657935	3535	0.20634836	3636	0.20608337	3737	0.20577838	3838	0.20560339	3939	0.20525740	4040	0.20510141	441	0.204893442	442	0.204635943	443	0.204363044	444	0.204190445	45	0.2040060046	46	0.2041871947	47	0.2039226348	48	0.203787644949	0.203668887550	0.2034658475551	0.2033869609552	0.203349623
53	0.202767766254	0.2031577715
55	0.2031420621
56	0.2030110753
57	0.2029498482
558	0.20208921959	0.2027044713
6060	0.2019282316161	0.20190030862	0.2024386189
6363	0.2018327806464	0.201684786565	0.2015762126666	0.2013951446767	0.20135621268	0.2018693927
69	0.2017189815
70	0.2016181035
71	0.201445234
72	0.272	0.2005073	0.73	0.2003867474	74	0.20032375	0.75	0.20016776	0.76	0.20009777	0.77	0.20000778	0.78	0.19990779	0.79	0.19981880	0.80	0.19961881	0.81	0.19952882	0.82	0.19938383	0.83	0.19928484	0.84	0.19985	85	0.85	0.19986	86	0.86	0.19887	87	087	0.198988	88	088	0.198889	89	089	0.198690	90	090	0.198591	91	0.1992317292	92	0.1991507893	93	0.1990767394	94	094	0.198295	95	95	0.198196	96	096	0.198074497	097	0.19795198	098	0.197803399	0.1985682953
100	0.1984325063
101	0.1983170991
102	0.1982374694
103	0.1980987441
104	0.1980416351
105	0.1979430048
106	0.1978791203
107	0.1977956519
108	0.197703985
109	0.19762661211110	0.1975876822
111	0.1974885281
112	0.1974116642
113	0.1973164253
114	0.1971952506
115	0.1971494294
116	0.1970723888
117	117	0.1962143118	118	0.1960584119	0.1968280941
120	0.1967174101
121	0.196636216
122	0.1964901816
123	0.1963935625
124	0.1963402437
125	0.1962212406
126	0.1961658369
127	0.1960337714
128	0.1959192547
129	0.1957692063
130	0.1957326433
131	0.1956186885
132	0.1955622099
133	0.1954724541
134	0.1954510962
135	0.1954422047
136	0.1953452124
137	0.1951960827
138	0.1951333137
139	0.1950726657
140	0.1949431135
141	0.1947566291
142	0.1946748595
143	0.1946038519
144	0.1945511184
145	0.1944312175
146	0.1943414463
147	0.1943214146
148	0.1942986343
149	0.19420534
150	0.1941046927
151	0.19409425
152	0.1940490605
153	0.1939904396
154	0.1938546377
155	0.1938487539
156	0.1937217456
157	0.1936780151
158	0.1936674201
159	0.1935479396
160	0160	0.192899161	0.19346616
162	0.1934012493
163	0.1933200803
164	0.1164	0.1926165	0.1165	0.1925166	0.1166	0.1924167	0.1167	0.192168	0.19168	0.192169	0.19169	0.192170	0.19170	0.192171	0.19171	0.191172	0.19172	0.191173	0.1173	0.1918174	0.1174	0.1918175	0.1175	0.1917176	0.1176	0.1916177	0.1177	0.1916178	0.1178	0.1915179	0.1179	0.1914180	0.1916100633
181	0.191550913
182	0.1914801197
183	0.191474749
184	0.1913748082
185	0.191234054
186	0.1911225795
187	0.1909905405
188	0.190930473
189	0.190877904
190	0.190697345
191	0.1905812192
192	0.1905356744
193	0.1904200739
194	0.1903388498
195	0.190337055
196	0.190261482
197	0.1901629489
198	0.1901042474
199	0.1900057358
200	0.189873797
201	0.1897938571
202	0.1897052759
203	0.1895872736
204	0.1894426477
205	0.1893370976
206	0.1893228986
207	0.189230245
208	0.1891351323
209	0.189075048
210	0.1889406068
211	0.188898692
212	0.1888054556
213	0.1887233852
214	0.1886767289
215	0.1885378273
216	0.1884671693
217	0.1883684214
218	0.1882333434
219	0.1881645671
220	0.1881220677
221	0.1880375111
222	0.188014905
223	0.1879901448
224	0.1879123761
225	0.1877530043
226	0.1877175717
227	0.1876650145
228	0.1875959401
229	0.1874932568
230	0.1873799382
231	0.1872540295
232	0.1870965142
233	0.1869985301
234	0.1869498297
235	0.1868462359
236	0.1867423877
237	0.1866636774
238	0.1866000631
239	0.1865118252
240	0.1864280533
241	0.1863187239
242	0.186174137
243	0.1860690164
244	0.1860540389
245	0.1859588754
246	0.1858980706
247	0.1858297307
248	0.1857507815
249	0.1855655137
250	0.1854587975
251	0.1854537056
252	0.1853841144
253	0.1853247649
254	0.1852206846
255	0.1851304342
256	0.1850163885
257	0.1848678483
258	0.1846996917
259	0.184589016
260	0.1845187052
261	0.1844476815
262	0.1843515932
263	0.1842636957
264	0.1841943141
265	0.1841022457
266	0.184015096
267	0.1839476673
268	0.1838400757
269	0.1837579369
270	0.1836893163
271	0.1836051669
272	0.1835368007
273	0.1835352389
274	0.1834471783
275	0.1833637645
276	0.1832244674
277	0.1831540204
278	0.1830902075
279	0.1830131396
280	0.1828893096
281	0.1828124588
282	0.1827495711
283	0.1825696986
284	0.1824339681
285	0.1823304769
286	0.1822598411
287	0.1821390328
288	0.1820541187
289	0.1819730451
290	0.1819078219
291	0.1817398112
292	0.1816719685
293	0.18160098
294	0.1815223848
295	0.1815211101
296	0.1814560136
297	0.1813677398
298	0.1812672735
299	0.1811244072
0.1798845006
